"Please choose a CSV file to import products to purchase order. You can download this sample CSV file","Please choose a CSV file to import products to purchase order. You can download this sample CSV file"
Download,Download
"Please choose  a CSV file to import:","Please choose  a CSV file to import:"
"Created At","Created At"
"Purchase from","Purchase from"
"Payment Term","Payment Term"
"Shipping Method","Shipping Method"
Comments,Comments
"Invoice Totals","Invoice Totals"
"Total Refund","Total Refund"
Error,Error
"Please select at least one item.","Please select at least one item."
"Order Success","Order Success"
"Purchase Order","Purchase Order"
"Manage Quotation","Manage Quotation"
"List Quotations","List Quotations"
"New Quotation","New Quotation"
"View Quotation","View Quotation"
"Save Quotation","Save Quotation"
"Convert Quotation To Purchase Order","Convert Quotation To Purchase Order"
"Manage Purchase Order","Manage Purchase Order"
"List Purchase Order","List Purchase Order"
"New Purchase Order","New Purchase Order"
"View Purchase Order","View Purchase Order"
"Save Purchase Order","Save Purchase Order"
"Send Purchase Order Request","Send Purchase Order Request"
"Print Purchase Order","Print Purchase Order"
"Cancel Purchase Order","Cancel Purchase Order"
"Confirm Purchase Order","Confirm Purchase Order"
"Receive Purchase Order Products","Receive Purchase Order Products"
"Return Purchase Order Products","Return Purchase Order Products"
"Transfer Purchase Order Products","Transfer Purchase Order Products"
"Manage Purchase Order Invoice","Manage Purchase Order Invoice"
"Create Purchase Order Invoice","Create Purchase Order Invoice"
"View Purchase Order Invoice","View Purchase Order Invoice"
"Register Payment Purchase Order Invoice","Register Payment Purchase Order Invoice"
"Refund Purchase Order Invoice","Refund Purchase Order Invoice"
"Purchase Order Settings","Purchase Order Settings"
"Purchase Management","Purchase Management"
"Quotation Management","Quotation Management"
Quotations,Quotations
"Create Quotation","Create Quotation"
"Purchase Order Management","Purchase Order Management"
"Purchase Orders","Purchase Orders"
"Create Purchase Order","Create Purchase Order"
Settings,Settings
