"New Gift Code","New Gift Code"
"Gift Code History","Gift Code History"
"Manage History","Manage History"
"Manage Gift Card Template","Manage Gift Card Template"
"This gift card template no longer exists.","This gift card template no longer exists."
"You saved the gift card template.","You saved the gift card template."
"Something went wrong while saving the gift card template.","Something went wrong while saving the gift card template."
"This template no longer exists.","This template no longer exists."
"You deleted the gift card template.","You deleted the gift card template."
"We can\'t find a gift card template to delete.","We can\'t find a gift card template to delete."
"Edit Template","Edit Template"
"New Template","New Template"
"Gift Templates","Gift Templates"
Template,Template
"Gift Code Pattern","Gift Code Pattern"
"The pattern has been duplicated successfully.","The pattern has been duplicated successfully."
"Each template only generate one time","Each template only generate one time"
"The pattern has been generated successfully.","The pattern has been generated successfully."
"The pattern has been saved successfully.","The pattern has been saved successfully."
"Gift Code Pattern was successfully deleted","Gift Code Pattern was successfully deleted"
"This gift code pattern no longer exists.","This gift code pattern no longer exists."
"Edit Gift Code Pattern","Edit Gift Code Pattern"
"New Gift Code Pattern","New Gift Code Pattern"
"Edit Gift Code Pattern ""%1","Edit Gift Code Pattern ""%1"
"Gift Card Product Manager","Gift Card Product Manager"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"Gift Card (%1)","Gift Card (%1)"
"Refund to your gift card code","Refund to your gift card code"
"You need to fill in your friend's address as the shipping address on checkout page. We will send this Gift Card to that address after at least %1 day(s).","You need to fill in your friend's address as the shipping address on checkout page. We will send this Gift Card to that address after at least %1 day(s)."
"You need to fill in your friend's address as the shipping address on checkout page. We will send this Gift Card to that address.","You need to fill in your friend's address as the shipping address on checkout page. We will send this Gift Card to that address."
Actions,Actions
"Allow using Gift Card only if products in cart meet the following conditions (leave blank for all products)","Allow using Gift Card only if products in cart meet the following conditions (leave blank for all products)"
"Apply To","Apply To"
Conditions,Conditions
Description,Description
"Describe conditions applied to shopping cart when using this gift code","Describe conditions applied to shopping cart when using this gift code"
"Allow using Gift Card only if the following shopping cart conditions are met (leave blank for all shopping carts)","Allow using Gift Card only if the following shopping cart conditions are met (leave blank for all shopping carts)"
ID,ID
Action,Action
"Balance Change","Balance Change"
Order,Order
"Current Balance","Current Balance"
"Created Time","Created Time"
"Gift Card History","Gift Card History"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
Delete,Delete
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"We're sorry, an error has occurred while generating this gift card template. ","We're sorry, an error has occurred while generating this gift card template. "
Preview,Preview
Import,Import
"Import and Print","Import and Print"
"Save & Send Email","Save & Send Email"
"Save & Continue Edit","Save & Continue Edit"
Print,Print
"Import File","Import File"
"Download Sample CSV File","Download Sample CSV File"
"Refund to customer gift card code used to check out","Refund to customer gift card code used to check out"
Duplicate,Duplicate
"Save and Generate","Save and Generate"
"Add Gift Card Product","Add Gift Card Product"
History,History
Balance,Balance
Date,Date
Comment,Comment
N/A,N/A
"View Order","View Order"
"Email to Friend","Email to Friend"
Status,Status
"Added Date","Added Date"
"Expired Date","Expired Date"
Permanent,Permanent
"This is your gift to give for %1 (%2)","This is your gift to give for %1 (%2)"
"Check Shipping","Check Shipping"
"View Shipment","View Shipment"
"Track the shipment","Track the shipment"
"Tracking Number(s):","Tracking Number(s):"
"Email to a Friend","Email to a Friend"
Name,Name
"Email Address","Email Address"
Message,Message
"Characters Remaining: ","Characters Remaining: "
"Send to Friend","Send to Friend"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
"View usage conditions of this Gift Card","View usage conditions of this Gift Card"
Item,Item
Price,Price
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Qty,Qty
Subtotal,Subtotal
"Check Gift card information","Check Gift card information"
"Add a Gift Card","Add a Gift Card"
