"%1 / %2 rate:","%1 / %2 rate:"
"Shipping Information","Shipping Information"
"Total Shipping Charges","Total Shipping Charges"
"Incl. Tax","Incl. Tax"
"Shipping Address","Shipping Address"
Carrier,Carrier
Title,Title
Number,Number
"Items Picked","Items Picked"
"Order Total","Order Total"
"Notes for this Order","Notes for this Order"
"Create Shipping Label","Create Shipping Label"
Package,Package
Type,Type
"Custom Value","Custom Value"
"Total Weight","Total Weight"
Size,Size
Length,Length
Width,Width
Height,Height
"Signature Confirmation","Signature Confirmation"
Contents,Contents
Girth,Girth
"Items in the Package","Items in the Package"
Weight,Weight
"Qty Ordered","Qty Ordered"
"Qty Packed","Qty Packed"
"This pack has been canceled. You should return all packed items to the warehouse.","This pack has been canceled. You should return all packed items to the warehouse."
SKU,SKU
"Packed Qty","Packed Qty"
"Select All","Select All"
"Product Name","Product Name"
Delete,Delete
"Create Packages","Create Packages"
Cancel,Cancel
Save,Save
"Add Package","Add Package"
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Add Products to Package","Add Products to Package"
"USPS domestic shipments don\'t use package types.","USPS domestic shipments don\'t use package types."
in,in
cm,cm
lb,lb
kg,kg
"Delete Package","Delete Package"
Explanation,Explanation
"Are you sure to move remaining items above back to Prepare Fulfil?","Are you sure to move remaining items above back to Prepare Fulfil?"
"This pick has been canceled. You should return all picked items to the warehouse.","This pick has been canceled. You should return all picked items to the warehouse."
"Qty To Pick","Qty To Pick"
"Picked Qty","Picked Qty"
Close,Close
Print,Print
"Pick #","Pick #"
"Pack #","Pack #"
"Order #","Order #"
No,No
Item,Item
Name,Name
"Request Qty","Request Qty"
"Shelf Location","Shelf Location"
Picked,Picked
"Qty Need to Ship","Qty Need to Ship"
"SCAN PACK BARCODE HERE","SCAN PACK BARCODE HERE"
Error,Error
"The barcode is invalid","The barcode is invalid"
"No pack found.","No pack found."
"SCAN ORDER NUMBER HERE","SCAN ORDER NUMBER HERE"
"Please scan the order first","Please scan the order first"
Attention!,Attention!
"There are some items in the current request not picked. If you scan the next picking request, these items will be moved to Prepare Fulfillment step. Do you still want to do this?","There are some items in the current request not picked. If you scan the next picking request, these items will be moved to Prepare Fulfillment step. Do you still want to do this?"
"There are some items in the current request not picked. If you mark this request as picked, these items will be moved to Prepare Fulfillment step. Are you sure you want to do this?","There are some items in the current request not picked. If you mark this request as picked, these items will be moved to Prepare Fulfillment step. Are you sure you want to do this?"
"Your browser has blocked the automatic popup, please change your browser settings","Your browser has blocked the automatic popup, please change your browser settings"
"Remove Batch","Remove Batch"
"Are you sure to remove the batch?","Are you sure to remove the batch?"
"This item does not exist on this order","This item does not exist on this order"
"Data not found","Data not found"
"Order Success","Order Success"
"Order Fulfillment","Order Fulfillment"
"Pick Items","Pick Items"
"Pack Items","Pack Items"
"Move To Pick","Move To Pick"
"Move To Need To Ship","Move To Need To Ship"
"Ready-To-Ship Packages","Ready-To-Ship Packages"
"Order Fulfillment Settings","Order Fulfillment Settings"
"Verify Orders","Verify Orders"
"Prepare Fulfil","Prepare Fulfil"
"Delivery Packages","Delivery Packages"
"Fulfilment Configuration","Fulfilment Configuration"
The package with ID "%1" does not exist.,The package with ID "%1" does not exist.
The batch with ID "%1" does not exist.,The batch with ID "%1" does not exist.
The picking request item with ID "%1" does not exist.,The picking request item with ID "%1" does not exist.
The picking request with id "%1" does not exist.,The picking request with id "%1" does not exist.
